iteration,wall_time_s,barrier_wait_s,compute_time_s,delta,comm_bytes,driver_rss_mb,task_min_s,task_max_s,task_avg_s,task_std_s,load_imbalance,dirty_node_count
1,0.04484570003114641,0.0,0.04483920009806752,0.009089865149196076,0,114.12109375,0.04483920009806752,0.04483920009806752,0.04483920009806752,0.0,0.0,
2,0.03862410015426576,0.0,0.038618599995970726,7.490951070832873e-05,0,115.24609375,0.038618599995970726,0.038618599995970726,0.038618599995970726,0.0,0.0,
3,0.04169670003466308,0.0,0.041690099984407425,2.974043344989543e-06,0,115.37109375,0.041690099984407425,0.041690099984407425,0.041690099984407425,0.0,0.0,
4,0.03541719983331859,0.0,0.035412499913945794,1.2916865533305153e-07,0,115.37109375,0.035412499913945794,0.035412499913945794,0.035412499913945794,0.0,0.0,
