iteration,wall_time_s,barrier_wait_s,compute_time_s,delta,comm_bytes,driver_rss_mb,task_min_s,task_max_s,task_avg_s,task_std_s,load_imbalance,dirty_node_count
1,0.2874517999589443,0.2478009001351893,0.036713700043037534,0.008248080872524023,2778450,227.3515625,0.020309700164943933,0.03062919992953539,0.02782577503239736,0.005015166286753778,0.33691705262730287,
2,0.13059909990988672,0.08662890014238656,0.03897589980624616,7.210736830404073e-05,2778450,232.69140625,0.024015799863263965,0.03475390002131462,0.027726449945475906,0.004808951509424011,0.3089753999253311,
3,0.13152649998664856,0.08961350005120039,0.03809940000064671,2.5887534113388227e-06,2778450,235.36328125,0.023954099975526333,0.03899149992503226,0.0290924750152044,0.006747838885035668,0.38565841217747115,
4,0.13844759995117784,0.09681500005535781,0.03827850008383393,1.0474507564682079e-07,2778450,236.6875,0.02196789998561144,0.041563000064343214,0.030284450040198863,0.009122002938076105,0.4714553821523187,
