iteration,wall_time_s,barrier_wait_s,compute_time_s,delta,comm_bytes,driver_rss_mb,task_min_s,task_max_s,task_avg_s,task_std_s,load_imbalance,dirty_node_count
1,0.2749281001742929,0.24226010008715093,0.03129429975524545,0.009089865149196076,1669005,168.37890625,0.011846499983221292,0.02415050007402897,0.01734060002490878,0.005150351175493776,0.5094718557831929,
2,0.07645389996469021,0.05570489983074367,0.018954999977722764,7.490951070832873e-05,1669005,172.1640625,0.016447900095954537,0.02896590018644929,0.023508925107307732,0.0051964398571712495,0.4321633372316484,
3,0.08847870002500713,0.06094420002773404,0.026224599918350577,2.974043344989543e-06,1669005,173.73046875,0.009530500043183565,0.01622970006428659,0.012460950063541532,0.0034228821983198947,0.4127741113247432,
4,0.07635830016806722,0.05633329995907843,0.018520500045269728,1.2916865533305153e-07,1669005,174.6875,0.014129000017419457,0.032998699927702546,0.019739475043024868,0.008949969654510906,0.5718316161432134,
