iteration,wall_time_s,barrier_wait_s,compute_time_s,delta,comm_bytes,driver_rss_mb,task_min_s,task_max_s,task_avg_s,task_std_s,load_imbalance,dirty_node_count
1,0.28480860008858144,0.2644831999205053,0.019219999900087714,0.009089865149196076,1669005,158.890625,0.010987099958583713,0.014389700023457408,0.01266770000802353,0.001751115614608718,0.2364608059464018,
2,0.08508640015497804,0.0660699000582099,0.016758699901401997,7.490951070832873e-05,1669005,162.1484375,0.006873599952086806,0.01396760018542409,0.010486999992281199,0.0031539224855196887,0.5078896975258669,
3,0.07495399983599782,0.05587260005995631,0.01740379980765283,2.974043344989543e-06,1669005,163.45703125,0.010815799934789538,0.022165599977597594,0.015419974981341511,0.005063312729294979,0.5120456948730967,
4,0.08289820002391934,0.058596399845555425,0.023117800010368228,1.2916865533305153e-07,1669005,164.46875,0.009658899856731296,0.025650599971413612,0.019264174974523485,0.006947143278309996,0.6234435113605262,
