iteration,wall_time_s,barrier_wait_s,compute_time_s,delta,comm_bytes,driver_rss_mb,task_min_s,task_max_s,task_avg_s,task_std_s,load_imbalance,dirty_node_count
1,0.2641054999548942,0.23642990016378462,0.025574699975550175,0.008526666612625373,2063150,186.54296875,0.01877960003912449,0.041771800024434924,0.027198275085538626,0.010430778614701387,0.5504239695646552,
2,0.09939699992537498,0.06791230011731386,0.029045399511232972,7.64103931319321e-05,2063150,191.05859375,0.018017200054600835,0.027157500153407454,0.023676450015045702,0.00413045932952225,0.336566327798024,
3,0.09072760003618896,0.061081800144165754,0.025713299866765738,2.9075538637617536e-06,2063150,193.67578125,0.011266599874943495,0.025113000068813562,0.018674374965485185,0.00672224032135724,0.5513638416727893,
4,0.0884674999397248,0.06008620001375675,0.025927900336682796,1.2481510834709485e-07,2063150,193.8203125,0.01345170009881258,0.021980600198730826,0.01780437509296462,0.0036918654329531645,0.38801943635782565,
