iteration,wall_time_s,barrier_wait_s,compute_time_s,delta,comm_bytes,driver_rss_mb,task_min_s,task_max_s,task_avg_s,task_std_s,load_imbalance,dirty_node_count
1,0.22315239999443293,0.19363190000876784,0.028405400225892663,0.009089865149196076,667602,165.546875,0.036423999816179276,0.036423999816179276,0.036423999816179276,0.0,0.0,
2,0.10216529993340373,0.08412240003235638,0.016315100016072392,7.490951070832873e-05,667602,169.33984375,0.04215670004487038,0.04215670004487038,0.04215670004487038,0.0,0.0,
3,0.07893710001371801,0.06411550007760525,0.013784199953079224,2.974043344989543e-06,667602,170.203125,0.03764749993570149,0.03764749993570149,0.03764749993570149,0.0,0.0,
4,0.07281180005520582,0.05637530004605651,0.01402759994380176,1.2916865533305153e-07,667602,171.05078125,0.03353689983487129,0.03353689983487129,0.03353689983487129,0.0,0.0,
