iteration,wall_time_s,barrier_wait_s,compute_time_s,delta,comm_bytes,driver_rss_mb,task_min_s,task_max_s,task_avg_s,task_std_s,load_imbalance,dirty_node_count
1,0.3134729000739753,0.26584160001948476,0.04297520010732114,0.20722798011247556,4492790,318.796875,0.02394560002721846,0.046251900028437376,0.03145742497872561,0.010205517692951383,0.48227856558334203,
2,0.1601400999352336,0.11534530017524958,0.04105509980581701,0.0015771355233191262,4492790,328.34375,0.032546899979934096,0.053006500005722046,0.03921882499707863,0.009646172562107062,0.38598285160460205,
3,0.15046729985624552,0.10340779996477067,0.042702300008386374,1.488312611169846e-05,4492790,331.98828125,0.025080899940803647,0.045219700084999204,0.03564845002256334,0.008371313456600442,0.4453545712674072,
4,0.1456404000055045,0.10013619996607304,0.04223109991289675,3.8829545759146965e-07,4492790,331.84765625,0.022490199888125062,0.04584080004133284,0.035279625037219375,0.010217789969064143,0.5093846558557762,
