iteration,wall_time_s,barrier_wait_s,compute_time_s,delta,comm_bytes,driver_rss_mb,task_min_s,task_max_s,task_avg_s,task_std_s,load_imbalance,dirty_node_count
1,0.20781440008431673,0.1867275999393314,0.01945070014335215,0.03212488687417776,2063150,204.84375,0.0027256999164819717,0.0057385999243706465,0.004594750003889203,0.0012997977204499784,0.5250235331955294,11874
2,0.06157250003889203,0.04084479995071888,0.01863600010983646,0.006240498766886994,2063150,205.828125,0.004431599983945489,0.012022099923342466,0.007999224937520921,0.003180401007396836,0.631378876219373,11874
3,0.06131999986246228,0.03916419995948672,0.019811799749732018,0.0014157054980816737,2063150,206.0,0.0026624000165611506,0.013253899989649653,0.007754974998533726,0.005827881323455718,0.7991232755158637,11874
4,0.05731999990530312,0.03792340005747974,0.017107400111854076,0.000321368691820986,2063150,206.07421875,0.0028216999489814043,0.008213500026613474,0.0046714499476365745,0.0024083605484980924,0.6564558422306568,11874
5,0.061385100008919835,0.0381113002076745,0.020950699923560023,7.295868663686298e-05,2063150,206.890625,0.002999400021508336,0.006434299983084202,0.005118600034620613,0.001477059280340982,0.5338420606136224,11874
6,0.06349490000866354,0.04020520020276308,0.020186700392514467,1.6563700542960166e-05,2063150,207.328125,0.0037605001125484705,0.01239950000308454,0.0064985500066541135,0.004042226672789898,0.6967216330002826,11874
7,0.06161279999651015,0.04147919989190996,0.017832899931818247,3.7604418955832403e-06,2063150,207.75390625,0.0030912000220268965,0.00750099983997643,0.005546949920244515,0.0018344577195502573,0.587894935612129,11874
8,0.06826289999298751,0.0442397000733763,0.021350299939513206,8.537301004085904e-07,2063150,207.46484375,0.00504940003156662,0.012131400173529983,0.007112825056537986,0.0033592537870787004,0.5837743410209054,11874
