iteration,wall_time_s,barrier_wait_s,compute_time_s,delta,comm_bytes,driver_rss_mb,task_min_s,task_max_s,task_avg_s,task_std_s,load_imbalance,dirty_node_count
1,0.24211409990675747,0.22195130004547536,0.01879140012897551,0.009089865149196076,1669005,168.53125,0.010898099979385734,0.01506350003182888,0.012985425011720508,0.0017893898852206465,0.27652272338047185,
2,0.06394840008579195,0.04579360014759004,0.01678009983152151,7.490951070832873e-05,1669005,172.74609375,0.013297799974679947,0.017710900167003274,0.015015500015579164,0.0020185802906197326,0.24917424584354336,
3,0.06546379998326302,0.04531800001859665,0.0183421999681741,2.974043344989543e-06,1669005,174.2734375,0.012672299984842539,0.015946100000292063,0.014558275055605918,0.001385840344715498,0.20530411921344793,
4,0.06107149994932115,0.04148090002126992,0.01802909979596734,1.2916865533305153e-07,1669005,175.1015625,0.01040179980918765,0.015413900138810277,0.012463274935726076,0.0024536474416524527,0.32516756203725383,
