iteration,wall_time_s,barrier_wait_s,compute_time_s,delta,comm_bytes,driver_rss_mb,task_min_s,task_max_s,task_avg_s,task_std_s,load_imbalance,dirty_node_count
1,0.5471449000760913,0.47943919990211725,0.06307170004583895,0.008272141648871753,4492790,297.41015625,0.06303509999997914,0.10820130002684891,0.0854516249964945,0.018712293169753976,0.4174275171893711,
2,0.24218660010956228,0.15360530000180006,0.08323489991016686,6.406614880504434e-05,4492790,306.94140625,0.042458900017663836,0.06381120020523667,0.05286137503571808,0.0088220209184098,0.33461680894415397,
3,0.2301568000111729,0.15622140001505613,0.0681976000778377,2.039409167540502e-06,4492790,308.55078125,0.048456800170242786,0.0675534000620246,0.05727900005877018,0.007979587194018823,0.28268895235840297,
4,0.23755700001493096,0.16321459994651377,0.06638839980587363,7.372233132946748e-08,4492790,311.83203125,0.03797669988125563,0.07512690010480583,0.05215872498229146,0.017549495486328132,0.49449930945804754,
