iteration,wall_time_s,barrier_wait_s,compute_time_s,delta,comm_bytes,driver_rss_mb,task_min_s,task_max_s,task_avg_s,task_std_s,load_imbalance,dirty_node_count
1,0.24726130021736026,0.21861370000988245,0.02761529991403222,0.009089865149196076,1669005,168.53515625,0.0075292999390512705,0.01628310000523925,0.012115175020880997,0.004401085662086359,0.5376003379805662,
2,0.0609550999943167,0.04410449997521937,0.015566299902275205,7.490951070832873e-05,1669005,171.203125,0.012288100086152554,0.016041900031268597,0.014245100028347224,0.001687382941066137,0.2339997093735281,
3,0.06995180016383529,0.05046329996548593,0.01815229980275035,2.974043344989543e-06,1669005,172.53125,0.012701699975878,0.02122420002706349,0.018122075009159744,0.00381160611255903,0.4015463499363106,
4,0.06898740003816783,0.04754390008747578,0.019960599951446056,1.2916865533305153e-07,1669005,173.3984375,0.013760699890553951,0.01661200006492436,0.01551057503093034,0.0012240974728226358,0.1716409922481776,
