iteration,wall_time_s,barrier_wait_s,compute_time_s,delta,comm_bytes,driver_rss_mb,task_min_s,task_max_s,task_avg_s,task_std_s,load_imbalance,dirty_node_count
1,0.2566380000207573,0.23360260017216206,0.02149039995856583,0.009089865149196076,1669005,159.265625,0.010658300016075373,0.01916360016912222,0.014917400083504617,0.0034748459677929363,0.4438257988053415,
2,0.06717119994573295,0.047853399999439716,0.01776139996945858,7.490951070832873e-05,1669005,162.96484375,0.012712699826806784,0.017961000092327595,0.014708799950312823,0.0024265311913621536,0.29220534705986273,
3,0.06335810013115406,0.045064999954774976,0.016804200364276767,2.974043344989543e-06,1669005,163.796875,0.010580100119113922,0.01696910010650754,0.013296725053805858,0.0031424358133928802,0.3765078847606938,
4,0.0732699001673609,0.05156580009497702,0.01985830022022128,1.2916865533305153e-07,1669005,165.19140625,0.011238000122830272,0.0206731001380831,0.015586025023367256,0.004020821385700129,0.45639502310888974,
