iteration,wall_time_s,barrier_wait_s,compute_time_s,delta,comm_bytes,driver_rss_mb,task_min_s,task_max_s,task_avg_s,task_std_s,load_imbalance,dirty_node_count
1,0.2417299000080675,0.2165509001351893,0.022847999818623066,0.05972765870139554,2063150,195.921875,0.012356800027191639,0.023969300091266632,0.019467175006866455,0.005218614027413801,0.4844738903455125,
2,0.08446660009212792,0.05986359994858503,0.022575499955564737,0.00043321817381444474,2063150,200.83984375,0.015273400116711855,0.027391300071030855,0.022015125025063753,0.005054310806747268,0.44239959121673594,
3,0.08226420008577406,0.058705100091174245,0.0217034004162997,4.17520102861467e-06,2063150,202.2421875,0.012606200063601136,0.023729800013825297,0.019682849990203977,0.004932422500914738,0.46876079628751205,
4,0.07842209981754422,0.055212700041010976,0.021394199691712856,1.2296361039640152e-07,2063150,203.37109375,0.012398299993947148,0.0173804999794811,0.015041675011161715,0.0023606838577748864,0.2866545836665107,
