iteration,wall_time_s,barrier_wait_s,compute_time_s,delta,comm_bytes,driver_rss_mb,task_min_s,task_max_s,task_avg_s,task_std_s,load_imbalance,dirty_node_count
1,0.26637539989314973,0.23035049997270107,0.03358830022625625,0.10332026269461332,2778450,239.57421875,0.0189648000523448,0.034731300082057714,0.028508750023320317,0.00672006184931237,0.453956517391007,
2,0.10308300005272031,0.07292329985648394,0.027763500111177564,0.0008332197906385805,2778450,245.65234375,0.017618299927562475,0.03200250002555549,0.02187985001364723,0.006807075488505713,0.4494711377706917,
3,0.103557099821046,0.07202930003404617,0.02833369979634881,7.618769070272978e-06,2778450,246.82421875,0.017907599918544292,0.03073740005493164,0.02289959997870028,0.0054976283816513495,0.41740030430221375,
4,0.10666509997099638,0.07722850004211068,0.02680210000835359,1.9661412089347442e-07,2778450,248.1875,0.021362700033932924,0.030614800052717328,0.026443850016221404,0.00387921193450771,0.30221004229499127,
