iteration,wall_time_s,barrier_wait_s,compute_time_s,delta,comm_bytes,driver_rss_mb,task_min_s,task_max_s,task_avg_s,task_std_s,load_imbalance,dirty_node_count
1,0.22901939996518195,0.21137930010445416,0.016432099509984255,0.009089865149196076,1001403,167.89453125,0.029108399990946054,0.03145779995247722,0.030283099971711636,0.0016612766445180988,0.0746841789661185,
2,0.10503989993594587,0.08395040011964738,0.01848119986243546,7.490951070832873e-05,1001403,170.38671875,0.02467439998872578,0.030617200070992112,0.027645800029858947,0.004202194237406495,0.19410005057571425,
3,0.07028879993595183,0.05312819988466799,0.01569719985127449,2.974043344989543e-06,1001403,171.9609375,0.030028700130060315,0.033321499824523926,0.03167509997729212,0.002328360993044211,0.09881907212472409,
4,0.0721460001077503,0.05812739999964833,0.012901399983093143,1.2916865533305153e-07,1001403,173.7578125,0.03145019989460707,0.034520399989560246,0.03298529994208366,0.002170959306740975,0.08893871727678931,
